Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
46,Entry Long,Entry Long,2020-04-04 01:00,140.70,20.6011,267.20,9.22,-2303.01,0.27,731.75,25.25,37.49,1.29
46,Exit Long,Exit Long,2020-04-10 22:00,153.67,20.6011,267.20,9.22,-2303.01,0.27,731.75,25.25,37.49,1.29
47,Entry Long,Entry Long,2020-04-04 10:00,139.71,20.731,289.40,9.99,-2013.60,0.3,756.89,26.13,17.21,0.59
47,Exit Long,Exit Long,2020-04-10 22:00,153.67,20.731,289.40,9.99,-2013.60,0.3,756.89,26.13,17.21,0.59
48,Entry Long,Entry Long,2020-04-11 18:00,157.22,18.6961,9.91,0.34,-2003.69,0.01,42.63,1.45,61.88,2.11
48,Exit Long,Entry Short,2020-04-12 17:00,157.75,18.6961,9.91,0.34,-2003.69,0.01,42.63,1.45,61.88,2.11
49,Entry Short,Entry Short,2020-04-12 17:00,157.75,18.6386,-244.91,-8.33,-2248.60,-0.25,175.58,5.97,244.91,8.33
49,Exit Short,Exit Short,2020-04-16 15:00,170.89,18.6386,-244.91,-8.33,-2248.60,-0.25,175.58,5.97,244.91,8.33
50,Entry Short,Entry Short,2020-04-14 03:00,154.62,19.0274,-309.58,-10.52,-2558.18,-0.32,119.68,4.07,309.58,10.52
50,Exit Short,Exit Short,2020-04-16 15:00,170.89,19.0274,-309.58,-10.52,-2558.18,-0.32,119.68,4.07,309.58,10.52
51,Entry Short,Entry Short,2020-04-14 04:00,156.26,18.8147,-275.26,-9.36,-2833.44,-0.28,149.20,5.07,275.26,9.36
51,Exit Short,Exit Short,2020-04-16 15:00,170.89,18.8147,-275.26,-9.36,-2833.44,-0.28,149.20,5.07,275.26,9.36
52,Entry Short,Entry Short,2020-04-14 05:00,156.35,18.8003,-273.36,-9.3,-3106.79,-0.28,150.78,5.13,273.36,9.3
52,Exit Short,Exit Short,2020-04-16 15:00,170.89,18.8003,-273.36,-9.3,-3106.79,-0.28,150.78,5.13,273.36,9.3
53,Entry Short,Entry Short,2020-04-14 06:00,157.75,18.6107,-244.54,-8.33,-3351.34,-0.25,175.31,5.97,244.54,8.33
53,Exit Short,Exit Short,2020-04-16 15:00,170.89,18.6107,-244.54,-8.33,-3351.34,-0.25,175.31,5.97,244.54,8.33
54,Entry Long,Entry Long,2020-04-18 18:00,172.50,16.8045,543.12,18.74,-2808.22,0.56,920.89,31.77,97.47,3.36
54,Exit Long,Entry Short,2020-05-06 06:00,204.82,16.8045,543.12,18.74,-2808.22,0.56,920.89,31.77,97.47,3.36
55,Entry Long,Entry Long,2020-04-19 13:00,180.34,16.0996,394.12,13.57,-2414.10,0.41,756.04,26.04,219.60,7.56
55,Exit Long,Entry Short,2020-05-06 06:00,204.82,16.0996,394.12,13.57,-2414.10,0.41,756.04,26.04,219.60,7.56
56,Entry Long,Entry Long,2020-04-19 21:00,180.21,16.1097,396.46,13.66,-2017.64,0.41,758.61,26.13,217.64,7.5
56,Exit Long,Entry Short,2020-05-06 06:00,204.82,16.1097,396.46,13.66,-2017.64,0.41,758.61,26.13,217.64,7.5
57,Entry Long,Entry Long,2020-04-19 22:00,179.25,16.1889,413.95,14.26,-1603.69,0.42,777.88,26.81,203.17,7
57,Exit Long,Entry Short,2020-05-06 06:00,204.82,16.1889,413.95,14.26,-1603.69,0.42,777.88,26.81,203.17,7
